Attraction,Type,Zone
Enchanted Airways,Ride,Far Far Away
Accelerator,Ride,Sci-Fi City
Battlestar Galactica: CYLON,Ride,Sci-Fi City
Battlestar Galactica: HUMAN,Ride,Sci-Fi City
Buggie Boogie,Ride,Illumination's Minon Land
Canopy Flyer,Ride,The Lost World
Despicable Me Minon Mayhem,Ride,Illumination's Minon Land
Dino-Soarin,Ride,The Lost World
Jurassic Park Rapids Adventure,Ride,The Lost World
"Lights, Camera, Action! Hosted by Steven Spielberg",Ride,New York
Magic Potion Spin,Ride,Far Far Away
Puss In Boots' Giant Journey,Ride,Far Far Away
Revenge of the Mummy,Ride,Ancient Egypt
Sesame Street Spaghetti Space Chase,Ride,New York
Shrek 4-D Adventure,Ride,Far Far Away
Silly Swirly,Ride,Illumination's Minon Land
TRANSFORMERS The Ride: The Ultimate 3D Battle,Ride,Sci-Fi City
Treasure Hunters,Ride,Ancient Egypt
WaterWorld,Show,The Lost World
Donkey LIVE,Show,Far Far Away
Fortune Favours The Furry,Show,Far Far Away
Lake Hollywood Spectacular,Show,Hollywood
Mel's Mixtape,Show,Hollywood
Minute of Minion Mayhem,Show,Illumination's Minon Land
Rhythm Truck,Show,New York
Trolls Hug Time Jubilee!,Show,New York
Universal Star Power Parade,Show,The Lost World
Baby Kilo's Naptime Tango,Meet and Greet,The Lost World
Despicable Me Family Portrait,Meet and Greet,Illumination's Minon Land
Egyptian Legends,Meet and Greet,Ancient Egypt
Gru and Lucy,Meet and Greet,Illumination's Minon Land
Happily Ever After,Meet and Greet,Far Far Away
Hatched! Featuring Dr. Rodney,Meet and Greet,The Lost World
Minion Dance Party,Meet and Greet,Illumination's Minon Land
Po and Master Tigress,Meet and Greet,Hollywood
Raptor Encounter with Blue,Meet and Greet,The Lost World
Raptor Encounter: Generations,Meet and Greet,The Lost World
Sesame Street,Meet and Greet,New York
Shrek and Princess Fiona,Meet and Greet,Far Far Away
Transformers: Voices of Cybertron,Meet and Greet,Sci-Fi City
WaterWorld Meet and Greet,Meet and Greet,The Lost World
Big Bird's Emporium,Retail Store,New York
Candylicious,Retail Store,Hollywood
Carter's Curiosities,Retail Store,Ancient Egypt
Fairy Godmother's Potion Shop,Retail Store,Far Far Away
Hello Kitty Studio,Retail Store,Hollywood
Minion Marketplace,Retail Store,Illumination's Minon Land
Minion Mart,Retail Store,Illumination's Minon Land
That's a Wrap,Retail Store,Entrance Plaza
The Dino-Store,Retail Store,The Lost World
TRANSFORMERS Supply Vault,Retail Store,Sci-Fi City
Universal Studios Store,Retail Store,Hollywood
UNIVRS,Retail Store,Hollywood
Ba-Na-Na CaBaNa!,Retail Cart,Illumination's Minon Land
Space Killer,Retail Cart,Illumination's Minon Land
Discovery Food Court,Dining Outlet,The Lost World
Fossil Fuels,Dining Outlet,The Lost World
Friar's Good Food,Dining Outlet,Far Far Away
Goldilocks,Dining Outlet,Far Far Away
KT's Grill,Dining Outlet,Hollywood
Loui's NY Pizza Parlor,Dining Outlet,New York
Mel's Drive-In,Dining Outlet,Hollywood
Oasis Spice Caf�,Dining Outlet,Ancient Egypt
StarBot Caf�,Dining Outlet,Sci-Fi City
Starbucks,Dining Outlet,Hollywood
Super Hungry Food Stand,Dining Outlet,Illumination's Minon Land
Cairo Market,Food Cart,Ancient Egypt
Frozen Fuel,Food Cart,Sci-Fi City
Galactic Treats,Food Cart,Sci-Fi City
Jungle Bites,Food Cart,The Lost World
Mariner's Market,Food Cart,The Lost World
Pharaoh's Dessert Oasis,Food Cart,Ancient Egypt
Planet Yen,Food Cart,Sci-Fi City
Pop-A-Nana,Food Cart,Illumination's Minon Land
Pops! Popcorn Delight,Food Cart,Hollywood
Star Snacks,Food Cart,Hollywood
